  0.0 29.0 82.0 46.0 68.0 52.0 72.0 42.0 51.0 55.0 29.0 74.0 
 29.0  0.0 55.0 46.0 42.0 43.0 43.0 23.0 23.0 31.0 41.0 51.0 
 82.0 55.0  0.0 68.0 46.0 55.0 23.0 43.0 41.0 29.0 79.0 21.0 
 46.0 46.0 68.0  0.0 82.0 15.0 72.0 31.0 62.0 42.0 21.0 51.0 
 68.0 42.0 46.0 82.0  0.0 74.0 23.0 52.0 21.0 46.0 82.0 58.0 
 52.0 43.0 55.0 15.0 74.0  0.0 61.0 23.0 55.0 31.0 33.0 37.0 
 72.0 43.0 23.0 72.0 23.0 61.0  0.0 42.0 23.0 31.0 77.0 37.0 
 42.0 23.0 43.0 31.0 52.0 23.0 42.0  0.0 33.0 15.0 37.0 33.0 
 51.0 23.0 41.0 62.0 21.0 55.0 23.0 33.0  0.0 29.0 62.0 46.0 
 55.0 31.0 29.0 42.0 46.0 31.0 31.0 15.0 29.0  0.0 51.0 21.0 
 29.0 41.0 79.0 21.0 82.0 33.0 77.0 37.0 62.0 51.0  0.0 65.0 
 74.0 51.0 21.0 51.0 58.0 37.0 37.0 33.0 46.0 21.0 65.0  0.0 
